,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23
BM_h120_27,0.000877345355338094,0.000630924529070088,0.00134579837278031,1.82690322549154e-17,0.00390662083543377,0.000575180846757805,0.877295510509016,0.02380132030218,0.00481170808793977,3.34382183729973e-17,0.0469566685238124,0.00049713929433296,2.76466508723027e-17,0.000625253828141546,2.14227190196456e-17,0.000220711726957479,0.0371386814026359,2.21203354352101e-17,0.000645266613336492,0.000671869772266958,2.52114430814787e-17,3.13245462697716e-17,4.3041817246296e-17
BM_h120_28,0.000764565461505496,7.59291526705191e-05,0.000687578833544347,1.66866369323156e-17,0.00412351448153674,0.000847737647837611,0.888469075819172,0.046084755657977,0.00103486931732105,3.05419248194477e-17,0.0391395298024326,0.000306650473748878,2.52520012589325e-17,2.17259113737936e-17,1.95671631313507e-17,1.94257050259093e-17,0.0165508005239471,2.02043546192258e-17,0.000518225838295965,0.00106450068519396,2.30277220692511e-17,2.86113310973307e-17,0.000332266304817005
BR_h0_1,0.000626858822466008,0.000203252890944323,0.915105449695718,2.2180458474703e-17,0.00232895322529532,0.000563825234084106,0.0005244953781726,2.85162922726787e-17,3.71757195755709e-17,0.000813412030186293,0.0715449246204365,0.000641801776948229,0.00172721811011645,2.88788374197959e-17,0.000142036468650408,2.58213230992386e-17,0.00174463437927312,2.68563312342484e-17,0.0005544088723091,0.000852756728215114,0.000569979578271254,3.80311769162617e-17,0.00205599218891331
BR_h0_2,0.000481491032902877,0.000416405353387304,0.928032503983218,2.20614236839666e-17,0.0021051318897215,0.000604451657189019,0.000864971762622466,6.57907864006163e-05,3.69762104443598e-17,0.00108186422507443,0.0559783989567925,0.00120266992183369,0.00164804874445688,0.00117531606665851,7.86044468619297e-05,0.00013276020901215,0.00153420280878587,2.67122026639549e-17,0.000624873683832222,0.00038081668724691,0.000518221486283995,3.78270768436303e-17,0.00307347629771892
BR_h0_3,0.000701423328202046,0.000417547232015475,0.893992784161342,0.000709162060934746,0.00179904633179643,0.000513757492084261,3.66297872383398e-17,2.83516864695693e-17,3.6961128593041e-17,0.000714222130312567,0.0941595023263154,0.000400662610515486,0.00127126680103353,2.87121388819603e-17,2.58592192376791e-17,2.56722735809684e-17,0.0018520345610039,2.67013072946313e-17,0.000381420426258778,0.000771748399333041,3.04325624279701e-17,3.78116479410487e-17,0.00231542213885232
BR_h0_4,0.000856604085232336,0.00053598381539283,0.878582935831161,0.000345872498522272,0.00212412084099447,0.000677340186724449,0.00121058817647592,2.69496219149167e-17,3.51333047577329e-17,0.00187253124953904,0.104580239553762,0.00117745915602229,0.00214639469444063,2.72922490190462e-17,2.45804136631657e-17,0.000287534281144719,2.60189947048198e-17,1.92232958948097e-05,0.000551666238288471,0.000763402538376208,2.89275931509816e-17,1.44758423026157e-06,0.00426665597379768
BR_h6_5,0.00012656949720695,0.000423664694911284,0.880824737180385,0.00196310388543792,2.70109752665017e-17,0.000579237002440055,0.000801792747468502,0.000150482149130429,3.51692500646834e-17,0.000537112936273592,0.0712008812334855,0.000414031735147631,0.000681179814028102,2.7320172047498e-17,0.000136389775692363,0.00010691273090443,2.60456150514583e-17,0.0330103907504703,0.000273313027675749,0.000907511980893505,0.00294464688644081,0.000957572345718768,0.00396046962628906
BR_h6_6,0.000136791861224683,0.000132996275597215,0.920066461650739,0.0018997608684401,6.35475498376335e-05,0.00038595634587868,0.000596800213768546,0.00059736789538152,0.00047827400203398,0.00059916855011688,0.0267760399307642,0.000965358009992332,0.00121253422052267,0.000361009950588549,0.000207287421211307,0.000918533087985602,0.000916286727509336,0.0359863197384045,0.000714657442412841,0.00028320977397057,0.00095415625659696,0.00217412630088912,0.00357335592613376
BR_h6_7,0.000376638413055838,0.000434295509264178,0.910164628500894,0.00281240040943884,2.68844558070808e-17,0.000312236404817075,0.000880729412197327,0.000534206259679368,3.50045172306216e-17,0.000351899670772506,0.0411902725839444,0.000443352761542541,0.000624540228411144,0.00112818407620767,0.000200628940225487,0.0011074802197727,2.59236173411171e-17,0.032708232586066,5.75505031527289e-05,0.000415479461022421,0.00227907927611004,0.00189679163352521,0.00208137314990066
BR_h6_8,6.61741748165314e-05,0.000612415874984007,0.919507396722575,0.00116716847682906,0.000631067352624629,0.000188802089747291,0.000771472570294128,0.00110110598118123,3.44023753390848e-17,0.000538709897273375,0.0234400967348268,0.000230423698748074,0.000668502663475034,0.000161125232734199,0.000333012754602544,0.000726220802957213,2.54776835812422e-17,0.0367063909909727,0.000323291421126947,0.000760071215325152,0.00435740727663501,0.00334918911458761,0.00435995495368357
BR_h12_9,0.000553029971004472,0.000457279274712192,0.87585324106002,0.00199448475497574,2.64545539501024e-17,0.000162995959632904,9.88922824290024e-06,0.000494065815792468,3.44447697293866e-17,0.00026503690485044,0.0800906670862589,9.42091681285629e-05,0.000285045011691557,2.67573813320596e-17,0.000454303602988979,0.000954607009563932,0.000166688857066393,0.0359110895788598,2.65338570874222e-17,0.000907796897240785,2.83606763377884e-17,3.52373846794082e-17,0.00134556981896989
BR_h12_10,0.00123014144209673,0.000228963401563672,0.883771564258791,0.00324304635100415,2.85720943207724e-17,0.00108735189636752,0.00134106379102682,0.000680980164793056,0.0012913605121386,0.000801331387219873,0.0712480762353883,0.000607177933870976,0.000751604164167886,2.88991613556773e-17,0.000566747297932334,0.00244894288067008,0.00171981408692523,0.023721244523293,0.00130915571577692,0.000998701124346479,3.06307912374025e-17,0.000284927724707998,0.00266780510791936
BR_h12_11,0.000670967218207368,0.000234128194556326,0.858859065037944,0.00227173118228568,2.72224951511615e-17,0.000577309188931015,0.000362794515835404,0.000308999852806718,3.5444656474258e-17,0.000215774538340541,0.0994629484020227,0.000541315918127623,3.200286743599e-17,2.75341132170914e-17,0.000502236967274378,0.000814385379862847,2.6249575309732e-17,0.0315625346367788,0.00016770556001636,0.000757978669991145,2.91839497859354e-17,0.000418747613638918,0.00227137712337954
BR_h12_12,0.000172019529675162,0.000134760223211673,0.869413070701776,0.00195974476494608,2.61923409235151e-17,0.000381820767576676,0.000732915569277658,0.000359856478012355,3.41033590468297e-17,0.000678020829687691,0.0739585626345033,0.00033225298363694,0.000118331883324245,2.64921667321135e-17,0.000598765384259172,0.00047901614244872,2.52562383349584e-17,0.0473404599282281,0.000175989194127081,0.000568156492802289,2.80795701512082e-17,0.000730170620458952,0.00186608587204775
BR_h24_13,3.75552592950005e-17,0.00040941387386116,0.91448375610898,0.00281122001545693,0.000510653655447884,0.000982527581996986,0.000703268126225835,0.00201393043079153,0.0101152629490117,0.00121538864022952,0.0373569039847297,0.00030381690048528,0.00109689358420034,0.000142751509842989,0.000460330645547603,0.00520639165150253,2.74626792954611e-17,0.0131851838934539,0.000181192319367368,0.000450632763734305,3.05326636369938e-17,0.00153450872085607,0.00683597264427858
BR_h24_14,3.74010844786253e-17,0.000542888419940232,0.926341827945625,0.00249751745831245,0.000122053457137527,0.000462448617681117,0.000351185484161053,0.0022943127103703,0.0114787468461588,0.000615236305206385,0.022732637285904,0.000531175269535716,0.000655927012832609,0.00093885955902227,0.000640635942727523,0.006140093961188,0.00211078704064787,0.0138013802536891,0.000798737423908094,0.000524094089052658,3.04073185349216e-17,0.00090585354225274,0.00551360137464703
BR_h24_15,8.24437093255252e-05,0.000342153840197892,0.91371908236539,0.00330707880996328,2.76242081123143e-17,0.000635957337433376,0.0014618996952845,0.00207612698219657,0.0137479103291195,0.00146587030733385,0.0261885469850595,0.000255179460889422,0.000690710556581102,0.00123978065299788,0.00041101135822942,0.00519706343796843,2.66369312287292e-17,0.0162818868275013,0.000402613379034773,0.000751037254653909,2.96146072558529e-17,0.00383919420132004,0.00790445250951955
BR_h24_16,0.000423978346218223,0.000200607377823498,0.930704402511459,0.00264475969484302,0.000604285345564801,0.000467087805819828,0.00124220891960922,0.0028750946083327,0.0132672106791239,0.00160259937094587,3.32274494655765e-17,0.000593492960405426,0.00102680261453143,0.00194140777355268,0.000942854150339578,0.00626290841884475,0.00214462067103119,0.0210831190967784,0.000742028256380143,0.000670799726815428,0.00112728043929324,0.00333178902299213,0.00610066220929521
BR_h48_17,4.08561827116246e-05,7.22535722575193e-05,0.896397626437349,0.00128203336277335,0.00150003025330464,0.000483642435309757,7.1403101299559e-05,0.00114708477889486,0.00997213446690331,0.00144453437534145,0.0755419766261418,4.79503938840839e-05,0.000229979049204206,0.000741245304414275,0.000234375887907949,0.00342194886421512,0.000917171990549821,0.000969046332782609,0.000807895202125586,0.000882893225939983,0.00124192401563775,3.79997578356322e-17,0.00255199414105174
BR_h48_18,0.000686143823314097,0.000322019425300018,0.878868489939685,0.000782868649622121,0.00228192050402893,0.000666488205286195,0.00079727618529172,0.00053597940300878,0.00976722293154172,0.00176331143638297,0.088187907223905,0.00110937336737024,0.00176980063770941,0.00068733368016921,0.000282202313462472,0.00144824698374324,2.72760979005959e-17,0.000327141773415767,0.000991485101722704,0.000415803232920795,0.00227968020351326,0.00230275565828445,0.00372654932032216
BR_h48_19,0.00161424476851515,0.000638525366186617,0.847251220080031,0.00242077139939533,0.00314664126277783,0.0010132395252013,0.00198261184796419,0.00101162494011192,0.00310195535798017,0.0023320470326365,0.118619479491488,0.000621981711249129,0.00120244613513346,0.00364126361345862,2.64637370082088e-17,0.00189098120815655,0.000856431583474532,2.73255107791842e-17,0.00109322258236225,0.00151189691535976,0.00334769304000703,0.000881589121512735,0.00182013301699767
BR_h48_20,0.000927357297711564,0.000394301274312106,0.876346066728354,0.00143770436143686,0.00225217928167944,0.000545696773817319,0.00237291027865563,0.000761374021625854,0.0111668592569703,0.00175629250921225,0.0853498758373487,0.000505202167041713,0.00177007707512545,0.0007801040948664,0.000197626239688876,0.00119769390493713,0.000211216566418198,0.00201337089735287,0.00123985181646144,0.0010159573889402,0.000596931805795725,0.00217195138730137,0.00498939903494665
